ID,Name,Text,Field (4 thematics),Keywords,type,Illustration source,Other names or spelling,Aspects (other gods that can change into or him/her or share similar domains)
acuecucyoticihuati,Acuecucyoticihuati,"Aquatic nagual of Chalchiuhtlicue. Goddess of the running water in rivers, streams and waves on the beach. Women in childbirth cry out to her for relief from their pains. ",life,"water, nature, sea, child, birth, river, wave",secondary,Codex Borbonicus,"Ahuic, Acuecueyotl, Acuecueyotlcihuatl",Chalchiuhtlicue
acxomocuil,Acxomocuil,"God of merchants, pulque and sex. Like Tezcatlipoca, he's represented with a snake in place of his foot.","spiritual expansion, material expansion","trade, wine, alcohol, sex",secondary,Codex Fejervary-Mayer,Xomocuil,"Tezcatlipoca, Yacatecuhtli"
ahkinshok,Ahkinshok,"Guardian of the Bees, Owner of the days or Spirit of the new fire. Linked to the mayan god Xmulzencab.",life,"nature, animals, earth, bees, honey, food, fire, bee",secondary,Source unknown,"Xmulzencab, Ah-Muzen-Cab",Xiuhtecuhtli
ahuitzotl,Ahuitzotl,"Mix between an otter, a monkey and a dog. He was feared due to his liking of human flesh, especially nails, eyes and teeth. He used the hand on his tail to drown fishermen.","death, life","water, nature, monster, dog, monkey, animal, beaver, otter",secondary,Codex Mendoza,,Tlaloc
amapan,Amapan,"Patron deity of tlachtli, an Aztec game where the ball represented the sun. Servant of Huitzilopochtli, Amapan is also associated with warfare.","material expansion, spiritual expansion","pleasure, war, game, ball",secondary,Codex Borgia,,Huitzilopochtli
amimitl,Amimitl,"Patron deity of the Otomi's city of Cuitlahuac, he's a minor god of lakes and fish hunters and aspect of Mixcoatl.","material expansion, life","water, hunting, fish, fishing, food, lake",secondary,Primeros Memoriales,"Amhimitl, Opochtli","Opochtli, Mixcoatl, Huitzilopochtli, Yacatecuhtli"
atlacoya ,Atlacoya ,"Goddess of drought and barren land, associated with the worship of pulque. She represents austerity and despair.",death,"water, death, pulque, alcohol, fertility, drought, despair, austerity",secondary,Codex Telleriano Remensis,Atlcahualo,Chalchiuhtlicue
atlaua,Atlaua,Minor god of the domesticated aquatic fowl who protects fishermen and archers. His nahual is the quetzal bird.,"material expansion, life","water, hunting, sacrifice, south, fish, arrows, weapon, death, fishermen, bow",secondary,Florentine Codex,"Atlahua, Ahtlahuah","Quetzalcoatl, Tlaloc, Mixcoatl"
azcatl,Azcatl,"Red ant which helped Quetzalcoatl to gather maize, hidden inside a mountain, to feed the gods and humankind.","life, spiritual expansion","nature, animals, fertility, ant, food, maize, earth, animal",secondary,Source unknown,,
camaxtli,Camaxtli,"Tlaxcaltec creator god of hunting, war, fire, fate and hope. His cult merged with Huitzilopochtli.","material expansion, life","war, hunting, fire, fate, hope, sun, primordial, celestial, night",secondary,Codex Ramirez,"Yemaxtli, Tlaclau-queteztzatlipuca, Camaxtle, Tlatlauhca","Mixcoatl, Xipe Totec, Huitzilopochtli"
